population,responder_subjects,nonresponder_subjects,responder_median_pct,nonresponder_median_pct,median_difference_pct_points,mann_whitney_u,p_value,significant_p_0_05,fdr_q_value,rank_biserial_effect,significant_fdr_0_05
b_cell,331,325,9.671393,9.844568,-0.173175,51499.0,0.345796,False,0.432245,-0.042547,False
cd8_t_cell,331,325,24.896948,25.009726,-0.112778,52591.0,0.622144,False,0.622144,-0.022245,False
cd4_t_cell,331,325,30.209817,29.82252,0.387297,59855.0,0.0124221,True,0.0621105,0.112805,False
nk_cell,331,325,14.739688,14.95983,-0.220141,50081.0,0.126745,False,0.316862,-0.06891,False
monocyte,331,325,19.794516,20.276803,-0.482287,51079.0,0.264492,False,0.432245,-0.050356,False
